DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
31-Mar-2021,6,58,4,49,56,13,12,1,Guinevere,2637
27-Mar-2021,18,22,26,49,5,3,29,11,Lancelot,2636
24-Mar-2021,23,50,40,2,3,27,30,11,Lancelot,2635
20-Mar-2021,12,36,24,34,51,15,21,10,Lancelot,2634
17-Mar-2021,28,26,36,58,16,7,9,10,Lancelot,2633
13-Mar-2021,8,29,6,17,11,44,20,9,Guinevere,2632
10-Mar-2021,26,42,21,5,1,9,17,9,Guinevere,2631
06-Mar-2021,47,29,16,17,52,56,15,11,Guinevere,2630
03-Mar-2021,2,54,40,23,3,8,52,11,Guinevere,2629
27-Feb-2021,4,49,45,33,39,36,20,10,Lancelot,2628
24-Feb-2021,1,34,17,9,18,16,13,10,Lancelot,2627
20-Feb-2021,36,3,18,56,24,16,10,9,Lancelot,2626
17-Feb-2021,39,6,8,26,5,20,1,9,Lancelot,2625
13-Feb-2021,42,50,37,44,16,15,48,11,Guinevere,2624
10-Feb-2021,29,1,33,15,49,42,54,11,Guinevere,2623
06-Feb-2021,27,32,46,28,39,52,6,10,Guinevere,2622
03-Feb-2021,17,9,21,4,46,26,12,10,Guinevere,2621
30-Jan-2021,36,51,4,28,31,55,42,9,Lancelot,2620
27-Jan-2021,34,45,35,30,50,22,51,9,Lancelot,2619
23-Jan-2021,1,52,49,6,45,25,56,8,Lancelot,2618
20-Jan-2021,13,5,7,57,25,3,37,8,Lancelot,2617
16-Jan-2021,48,38,45,3,53,15,27,7,Guinevere,2616
13-Jan-2021,1,42,8,18,16,12,4,7,Guinevere,2615
09-Jan-2021,9,38,21,30,23,35,53,6,Guinevere,2614
06-Jan-2021,54,36,2,8,51,52,10,6,Guinevere,2613
02-Jan-2021,36,9,39,6,8,57,37,5,Lancelot,2612
30-Dec-2020,17,21,11,49,37,24,45,5,Lancelot,2611
26-Dec-2020,43,44,55,52,26,46,6,8,Lancelot,2610
23-Dec-2020,48,51,42,20,54,52,21,8,Lancelot,2609
19-Dec-2020,4,28,21,10,27,14,23,7,Guinevere,2608
16-Dec-2020,43,38,28,36,2,30,33,7,Guinevere,2607
12-Dec-2020,13,49,38,39,53,56,59,6,Guinevere,2606
09-Dec-2020,7,28,14,8,10,33,26,6,Guinevere,2605
05-Dec-2020,52,59,51,47,13,38,18,5,Arthur,2604
02-Dec-2020,38,22,39,26,16,47,48,5,Merlin,2603
28-Nov-2020,35,9,46,45,57,27,32,8,Merlin,2602
25-Nov-2020,30,18,11,55,44,33,48,8,Merlin,2601
21-Nov-2020,37,23,54,32,57,49,47,7,Arthur,2600
18-Nov-2020,54,28,27,41,26,18,45,7,Arthur,2599
14-Nov-2020,25,37,56,50,39,44,13,6,Arthur,2598
11-Nov-2020,49,50,36,46,6,59,38,6,Arthur,2597
07-Nov-2020,3,56,52,33,50,45,44,5,Merlin,2596
04-Nov-2020,10,32,50,28,35,20,24,5,Merlin,2595
31-Oct-2020,16,59,1,6,34,49,35,4,Merlin,2594
28-Oct-2020,18,38,59,27,47,11,14,4,Merlin,2593
24-Oct-2020,53,18,47,13,19,57,44,3,Arthur,2592
21-Oct-2020,28,12,27,29,9,44,8,3,Arthur,2591
17-Oct-2020,38,41,26,51,32,49,46,2,Arthur,2590
14-Oct-2020,28,31,46,12,50,9,10,2,Arthur,2589
10-Oct-2020,21,45,36,11,56,49,2,1,Merlin,2588
07-Oct-2020,37,52,58,12,18,56,53,1,Merlin,2587
